path	blob_sha1
_docs/draft/dashboard_implementation.md	20fc43b8817970569b308c81593f91ce3a72cf43
_docs/draft/judge_sys_instruction.md	de464f272024b1eb8990f9f0e76bf91b34ee45a9
_docs/draft/prompts_for_subject_model/01.md	44df332116fbee607974cdfadc2355ea6281b5e9
_docs/draft/prompts_for_subject_model/02.md	82e40419efcd9ac5776e10ddfc3eb9922196d417
_docs/draft/prompts_for_subject_model/03.md	b22b5327765fa1efa4756ce50b4e68cdd56d01ab
_docs/draft/prompts_for_subject_model/04.md	69ca8d24860e0fdcf6b264477420348f9acea980
_docs/draft/prompts_for_subject_model/05.md	b18e3a074c49fc9af901c29d67088dfc07078699
_docs/draft/prompts_for_subject_model/06.md	d648035a5482c7133cf46bda8de60f3c6ac56854
_docs/draft/prompts_for_subject_model/07.md	bec5e026bbecd825f25e9fd56d1ebb7f7336d9b3
_docs/draft/prompts_for_subject_model/08.md	665348c643d7e6f069c30ba0b82f76ceeb8f2234
_docs/draft/prompts_for_subject_model/09.md	f71d9a0802a8bac417e21f91c0e7b08215f1e800
_docs/draft/prompts_for_subject_model/10.md	50204b68e55f0cbec61ddd3692d282334b464ce3
_docs/draft/prompts_for_subject_model/11.md	308df216a466f811b33b3ae1c5a51a834b527c90
_docs/draft/requirements.md	07e51e51e864617aa8871e89a4de1b3b92e23e36
_docs/draft/rubrics_draft/01.md	da00808d7d3f567f835e5c718996d477e18c7b09
_docs/draft/rubrics_draft/02.md	4f015d2860eecf18dc36665bf7bda06a75180e9a
_docs/draft/rubrics_draft/03.md	fe32becfd16c7c6c8918f77f87a194f90ccdd82c
_docs/draft/rubrics_draft/04.md	8e04cf3edf72513e30d2b8c4ee56c6908c74772b
_docs/draft/rubrics_draft/05.md	b6134830e7330410d8ffa3312c523d513f0eea55
_docs/draft/rubrics_draft/06.md	540317b575a04690e6e08b68fc4ce7a6ad154bc7
_docs/draft/rubrics_draft/07.md	6684f8b21054ead4996410a1595d9024c613f00a
_docs/draft/rubrics_draft/08.md	ee5f4022b7d38be3d3a6999f2ce2ef4b90d65153
_docs/draft/rubrics_draft/09.md	156271e32a4359f228c15beea80f9ed31475fedc
_docs/draft/rubrics_draft/10.md	8cab4151a79402aa804e1e5b224625ae4f85c69c
_docs/draft/rubrics_draft/11.md	e2c231e7fa5207b5e5db992758f4b45432340f3a
_docs/plan/Core/llm_benchmark_app.md	d5f29676df6c4bee76d7fb316c922ce1ac276c53
_docs/plan/UI-Feature-15-Ext-dashboard-enhancement.md	7f5ea08c0b1d68059cef25d24e7fc36e201a280c
_docs/plan/UI-Feature-15-dashboard.md	110aaf5b137e0a5e72d73db895f083bb232c9f68
_docs/reference/Core/holistic-evaluation.md	d7931bc5594e342c9a03fc93d5c02c148689f8be
